"title","sales_price","original_price","discount"
"Hp 14 Intel Celeron, 64GB, 4GB, Windows 11 In S Mode","₦ 190,000","₦ 272,000","35%"
"Hp EliteBook 840 G6 Intel Core I5 Touchscreen 16GB RAM/1TB SSD/Backlit Keyboard/FP Win 11 Pro","₦ 110,000","₦ 400,000","35%"
"Hp EliteBook 840 G8 11th Gen 16GB RAM/256GB SSD Intel Core I5 Backlit Keyboard/FP Reader Wins 11 Pro","₦ 515,000","₦ 150,000","35%"
"Hp Notebook 15-AMD RYZEN 3 -16GB RAM/1TBGB HDD - Windows 10","₦ 520,000","₦ 778,000","35%"
"Hp ProBook11 X360-Intel Celeron 512GB 4GBRAM Windows10+MOUSE","₦ 475,000","₦ 800,000","35%"
"Hp Stream 11 2GB, 32GB SSD +32gb Flash,USB LED LIGHT","₦ 2,500","₦ 678,000","35%"
"Hp ProBook 11 X360- TOUCH- 1TB SSD/8GB RAM-Intel CORE I5- Windows 11 PRO LAPTOP + 64GB Flash & BAG","₦ 485,000","₦ 990,000","35%"
"Hp ELITEBOOK 830 G7 TOUCH SCREEN INTEL CORE I7 512SSD 16GB RAM BACKLIT KEYBOARD WINDOWS 11PRO","₦ 150,000","₦ 952,000","35%"
"Hp EliteBook 840 G6 Intel Core I5- 32GB RAM/1TB SSD/Backlit Keyboard/FP Reader Windows 11 Pro + BAG","₦ 455,000","₦ 900,000","35%"
"Hp EliteBook 840 G6 TOUCHSCREEN Intel Core I5-16GB RAM/1TB SSD/Backlit Keyboard- WIN 11 Pro + BAG","₦ 280,000","₦ 305,000","35%"
"Hp EliteBook 840 G6 Intel Core I5  Touchscreen 16GB RAM/512GB SSD Win 11 Pro+ Mouse","₦ 185,000","₦ 880,000","35%"
"Hp ProBook 11 X360- Intel Pentium 256GB SSD-TOUCHSCREEN 8GB RAM Windows10 Pro + Laptop Pouch","₦ 495,000","₦ 680,000","35%"
"Hp Refurbished EliteBook 840 G6 Intel Core I5-16GB RAM/512GB SSD Win 11 Pro","₦ 190,000","₦ 2,210,000","35%"
"Hp Stream 11 Intel Celeron 2GB RAM- 32GB HDD WIN 10","₦ 220,000","₦ 1,480,000","35%"
"Hp Notebook 14 Intel Celeron Dual Core N4020 8GB RAM 1TB HDD WIN 10","₦ 195,000","₦ 680,000","35%"
"Hp Stream 11-Intel Celeron 64gb Ssd/4gb Ram+pouch","₦ 280,000","₦ 650,000","35%"
"Hp Stream 11 Pro- Intel Celeron - 4GB RAM - 64GB SSD Windows 10 Pro+ Mouse & USB LIGHT FOR Keyboard","₦ 220,000","₦ 400,000","35%"
"Hp Stream 11 Pro - 64GB SSD- Intel Celeron  4GB DDR4 RAM WIN10 Pro + USB Light For Keyboard&Mouse","₦ 425,000","₦ 900,000","35%"
"Hp EliteBook 840 G6 Intel Core I5-8GB RAM/512GB SSD/Backlit Keyboard/FP Reader Wins 11 Laptop +BAG","₦ 129,999","₦ 1,350,000","35%"
"Hp ProBook 11 X360- TOUCH Intel Celeron 256GB 8GB RAM WIN10 Pro+ USB LIGHT FOR KEYBOARD","₦ 200,000","₦ 730,000","35%"
"Hp Stream 11 Laptop- Intel Celeron - 64GB SSD 4GB RAM Windows 10 PRO+ Mouse & USB Light For Keyboard","₦ 310,000","₦ 800,000","35%"
"Hp ProBook 11 X360- TOUCH- 512GB SSD/8GB RAM-Intel CORE I5- Windows 11 + 64GB Flash & BAG","₦ 445,000","₦ 500,000","35%"
"Hp STREAM 11 INTEL CELERON® 4GB RAM 32GB EMMC WIN 10+32GB FLASH","₦ 400,000","₦ 800,000","35%"
"Hp ProBook 11 X360- Intel CELERON LAPTOPS - 128GB SSD-TOUCHSCREEN 4GB RAM Windows10 Pro + Laptop Pouch","₦ 965,000","₦ 800,000","35%"
"Hp EliteBook 840 G6 Intel Core I5 Touchscreen 16GB RAM/1TB SSD/Backlit Keyboard/FP Win 11 Pro","₦ 550,000","₦ 800,000","35%"
"Hp ProBook 11 X360- Intel Pentium 256GB SSD-TOUCHSCREEN 4GB RAM Windows10 Pro + Laptop Pouch","₦ 330,000","₦ 650,000","35%"
"Hp Stream 11 Pro- Intel Celeron - 4GB RAM - 64GB SSD Windows 10 Pro+ BAG AND LIGHT FOR Keyboard","₦ 2,500","₦ 525,000","35%"
"Hp EliteBook 840 G6 Intel Core I5- 32GB RAM/1TB SSD/Backlit Keyboard/FP Reader Windows 11 Pro + BAG","₦ 750,000","₦ 1,190,000","35%"
"Hp EliteBook 840 G6 Intel Core I5-8GB RAM/512GB SSD/Backlit Keyboard/FP Reader Windows 11 Pro + BAG","₦ 455,000","₦ 250,000","35%"
"Hp EliteBook 840 G5 TOUCHSCREEN Core I5-16GB RAM/1TB SSD/Backlit Keyboard/FP Reader Win 11 Laptop+BAG","₦ 350,000","₦ 660,400","35%"
"Hp Stream11intel Celeron D/C 64GB HDD+4GB RAM+Win10 Pro","₦ 456,000","₦ 200,000","35%"
"Hp ProBook 11 X360- TOUCH- 512GB SSD/4GB RAM-Intel CELERON QUAD CORE WIN10 Pro +Mouse &USB Light","₦ 190,000","₦ 150,000","35%"
"Hp Stream 11 Laptop- Intel Celeron - 64GB SSD 4GB RAM Windows 10 PRO+ Mouse & USB Light For Keyboard","₦ 200,000","₦ 1,420,000","35%"
"Hp Stream11intel Celeron D/C 64GB HDD+4GB RAM+pouch Win10","₦ 198,000","₦ 700,000","35%"
"Hp EliteBook 840 G6 Intel Core I5-32GB RAM/1TB SSD/Backlit Keyboard/FP Reader Wins 11 Pro Laptop +BAG","₦ 350,000","₦ 9,000","35%"
"Hp ProBook 11 X360 Intel Celeron 256GB SSD 4GB RAM Touchscreen Win10","₦ 149,500","₦ 238,500","35%"
"Hp EliteBook 840 G6 Intel Core I5-8GB RAM/256GB SSD/Backlit Keyboard/FP Reader Wins 11 Pro Laptop+BAG","₦ 117,000","₦ 4,025,000","35%"
"Hp ProBook 11 X360- TOUCH- 512GB SSD/4GB RAM-Intel CELERON QUAD CORE WIN10 Pro +Mouse &USB Light","₦ 250,000","₦ 390,000","35%"
"Hp Notebook 14 AMD RYZEN 3- 12GB RAM - 1TB HDD- 2.6GHz - 3.5GHz Windows 10 Pro","₦ 195,000","₦ 650,000","35%"
"Hp Probook 11 G7 X360 Touchscreen 256GB SSD 4GB DDR4 RAM Intel Pentium WIN 10","₦ 650,000","₦ 490,000","35%"
"Hp 14 Intel Celeron, 64GB, 4GB, Windows 11 In S Mode","₦ 445,000","₦ 800,000","35%"
"Hp EliteBook 840 G6 Intel Core I5 Touchscreen 16GB RAM/1TB SSD/Backlit Keyboard/FP Win 11 Pro","₦ 250,000","₦ 500,000","35%"
"Hp EliteBook 840 G8 11th Gen 16GB RAM/256GB SSD Intel Core I5 Backlit Keyboard/FP Reader Wins 11 Pro","₦ 485,000","₦ 897,700","35%"
